date,R_t-estimate,school_closing,cancel_public_events,restrictions_on_gatherings,internationaltravel,temperature,windspeed,full_vaccination,visible,new_deaths
2020/3/8,1.62,3,1,0,3,46.2,5.8,0,3.8,1
2020/3/9,1.55,3,1,0,2,59.8,7.6,0,5.7,2
2020/3/10,1.49,3,1,0,2,58.6,3.8,0,2.4,3
2020/3/11,1.48,3,1,0,2,62.8,8.7,0,6.2,2
2020/3/12,1.41,3,1,0,2,55.6,6.8,0,6.2,4
2020/3/13,1.24,3,1,0,2,56.2,7.7,0,6,2
2020/3/14,1.09,3,1,0,2,41.5,8.7,0,4.3,1
2020/3/15,0.99,3,1,0,2,48.4,7.4,0,6.2,2
2020/3/16,0.9,3,1,0,2,50.8,15.1,0,6.2,6
2020/3/17,0.94,3,1,0,2,49.2,6.7,0,6.2,0
2020/3/18,0.97,3,1,0,2,58.2,6.9,0,6.2,2
2020/3/19,1.03,3,1,0,2,60.2,10.3,0,6.2,1
2020/3/20,1.08,3,1,0,2,61,10.2,0,6.2,1
2020/3/21,1.12,3,1,0,2,60,8.9,0,6.2,2
2020/3/22,1.27,3,1,0,2,64.6,14,0,6.2,4
2020/3/23,1.45,3,1,0,2,49,10,0,6.2,1
2020/3/24,1.65,3,1,0,2,50,15.2,0,6.2,1
2020/3/25,1.94,3,1,0,2,54,6.1,0,6.2,3
2020/3/26,2.09,3,1,0,2,58,6.2,0,6,2
2020/3/27,2.05,3,1,0,2,64.8,11.7,0,5.7,6
2020/3/28,2.02,3,1,0,2,59.4,7.9,0,5.5,3
2020/3/29,1.97,3,1,0,2,37.4,7.5,0,4.2,7
2020/3/30,1.96,3,1,0,2,49.2,4.6,0,6.2,2
2020/3/31,1.99,3,1,0,2,52.6,4.7,0,5.7,2
2020/4/1,1.99,3,1,0,2,55,8.7,0,2.2,5
2020/4/2,1.94,3,1,0,2,61.8,14.9,0,6.2,3
2020/4/3,1.76,3,1,0,3,59.2,7.1,0,6.2,6
2020/4/4,1.55,3,1,0,3,62.8,10.3,0,6.1,6
2020/4/5,1.47,3,1,0,3,51.6,10.1,0,6.2,6
2020/4/6,1.53,3,1,0,3,59,8.3,0,6.2,3
2020/4/7,1.68,3,1,0,3,59,5.4,0,6.2,2
2020/4/8,1.84,3,1,0,3,62,6.2,0,6.2,7
2020/4/9,1.81,3,1,0,3,60.4,11.5,0,6.2,8
2020/4/10,1.56,3,1,0,3,58,9.5,0,6.2,12
2020/4/11,1.23,3,1,0,3,56.6,7.7,0,6.2,13
2020/4/12,0.95,3,1,0,3,54.2,7.6,0,5.9,9
2020/4/13,0.82,3,1,0,3,50.6,13.3,0,3.3,9
2020/4/14,0.86,3,1,0,3,57.4,15.2,0,6.2,14
2020/4/15,1,3,1,0,3,60.2,8.5,0,6.2,16
2020/4/16,1.07,3,1,0,3,55.6,12.6,0,6.2,18
2020/4/17,1.01,3,1,0,3,58,6.2,0,5.8,13
2020/4/18,0.8,3,1,0,3,59.2,18.1,0,2.7,19
2020/4/19,0.61,3,1,0,3,65.4,10.3,0,6,19
2020/4/20,0.55,3,1,0,3,50.6,5,0,4,20
2020/4/21,0.6,3,1,0,3,60.2,4.9,0,5.5,28
2020/4/22,0.68,3,1,0,3,60.8,6,0,6.2,20
2020/4/23,0.74,3,1,0,3,57.8,7.3,0,6.2,28
2020/4/24,0.62,3,1,0,3,59,6.4,0,6.2,9
2020/4/25,0.48,3,1,0,3,60.4,11.7,0,6.2,19
2020/4/26,0.32,3,1,0,3,67.8,15.2,0,6.2,16
2020/4/27,0.27,3,1,0,3,58.8,9.3,0,5.5,22
2020/4/28,0.38,3,1,0,3,59.4,4.8,0,6.2,19
2020/4/29,0.59,3,1,0,3,63.2,9.5,0,6.2,18
2020/4/30,0.8,3,1,0,3,69.6,7.6,0,6.2,27
2020/5/1,0.89,3,1,0,3,70.2,10.8,0,5.9,29
2020/5/2,0.78,3,1,0,3,70.8,10,0,5.4,26
2020/5/3,0.62,3,1,0,3,69.4,11.2,0,6,24
2020/5/4,0.38,3,1,0,3,66,4.6,0,5.6,22
2020/5/5,0.17,3,1,0,3,72.6,9.3,0,5.5,11
2020/5/6,0.13,3,1,0,3,62.2,5.7,0,4.5,12
2020/5/7,0.17,3,1,0,3,67.4,8.8,0,6.2,12
2020/5/8,0.2,3,1,0,3,66,7.9,0,6.2,17
2020/5/9,0.24,3,1,0,3,67,11.6,0,6.2,20
2020/5/10,0.25,3,1,0,3,70.6,13.3,0,4.8,12
2020/5/11,0.29,3,1,0,3,74.6,9.8,0,6.1,19
2020/5/12,0.34,3,1,0,3,74,7.5,0,6.1,22
2020/5/13,0.39,3,1,0,3,74.4,8.8,0,6.2,19
2020/5/14,0.42,3,1,0,3,71.2,10.4,0,6.2,16
2020/5/15,0.4,3,1,0,3,71.6,11.3,0,6,18
2020/5/16,0.3,3,1,0,3,65.4,9.2,0,4.4,18
2020/5/17,0.27,3,1,0,3,74,7.1,0,6.2,9
2020/5/18,0.24,3,1,0,3,67.4,5.7,0,5.9,9
2020/5/19,0.28,3,1,0,3,64.8,9.7,0,4.5,9
2020/5/20,0.3,3,1,0,3,57.4,6.5,0,6.2,13
2020/5/21,0.38,3,1,0,3,57.8,5.2,0,6.2,8
2020/5/22,0.41,3,1,0,3,61.8,7.4,0,4.7,10
2020/5/23,0.43,3,1,0,3,67.4,3.9,0,5.4,9
2020/5/24,0.45,3,1,0,3,73.8,6.6,0,6.2,7
2020/5/25,0.58,3,1,0,3,72.8,8.2,0,6.2,5
2020/5/26,0.85,3,1,0,3,71.4,6.2,0,6.2,6
2020/5/27,1.08,3,1,0,3,73.8,5.4,0,6.2,7
2020/5/28,1.22,3,1,0,3,72.2,9,0,6.2,11
2020/5/29,1.23,3,1,0,3,74,7.5,0,6.2,6
2020/5/30,1.15,3,1,0,3,75.8,7.5,0,6.2,7
2020/5/31,1.04,3,1,0,3,72,6.2,0,6.2,4
2020/6/1,0.92,1,1,0,3,69.4,3.6,0,5.3,1
2020/6/2,0.87,1,1,0,3,74.6,6.6,0,5.7,3
2020/6/3,0.91,1,1,0,3,77.4,6.2,0,5.9,3
2020/6/4,0.95,1,1,0,3,77.4,5.7,0,5.6,6
2020/6/5,0.93,1,1,0,3,79.2,9,0,6.2,5
2020/6/6,0.9,1,1,0,3,80,6.6,0,6.2,-1
2020/6/7,0.88,1,1,0,3,76.2,9.2,0,6.2,2
2020/6/8,0.86,1,1,0,3,76.8,7.4,0,6.2,3
2020/6/9,0.94,1,1,0,3,79,10.3,0,6.2,0
2020/6/10,1.01,1,1,0,3,80.2,14.9,0,6.2,2
2020/6/11,1.15,1,1,0,3,79,15.8,0,6,0
2020/6/12,1.29,1,1,0,3,80.4,9,0,5.8,2
2020/6/13,1.31,1,1,0,3,69.8,8.4,0,3.8,3
2020/6/14,1.29,1,1,0,3,72.6,3.1,0,3.2,0
2020/6/15,1.23,1,1,0,3,81.8,6.9,0,6.2,2
2020/6/16,1.16,1,1,0,3,79.4,9.3,0,6.2,5
2020/6/17,1.15,1,1,0,3,79,10.5,0,6.2,1
2020/6/18,1.12,1,1,0,3,74.6,4.9,0,5.8,0
2020/6/19,1.09,1,1,0,3,67.4,5.7,0,3.7,16
2020/6/20,1.1,1,1,0,3,77.2,8.5,0,6.2,4
2020/6/21,1.08,1,1,0,3,72.2,5.7,0,6,0
2020/6/22,1.13,1,1,0,3,68.2,9.1,0,3.6,0
2020/6/23,1.24,1,1,0,3,76,5.8,0,6.2,10
2020/6/24,1.39,1,1,0,3,73.8,8.5,0,6.2,2
2020/6/25,1.5,1,1,0,3,69.6,5.2,0,5.5,4
2020/6/26,1.55,1,1,0,3,78.6,4.7,0,4,0
2020/6/27,1.55,1,1,0,3,77.6,4.9,0,3.2,0
2020/6/28,1.63,1,1,0,3,73,5.2,0,5.2,1
2020/6/29,1.76,1,1,0,3,80.6,7.5,0,6.2,0
2020/6/30,1.76,1,1,0,3,77.6,11.3,0,5.2,0
2020/7/1,1.84,1,1,0,3,76.8,16.6,0,5.2,4
2020/7/2,1.76,1,1,0,3,82.2,13.2,0,6.2,1
2020/7/3,1.62,1,1,0,3,78.4,8.7,0,6.2,0
2020/7/4,1.46,1,1,0,3,79.8,12.7,0,5.9,0
2020/7/5,1.3,1,1,0,3,76,10.9,0,3.6,0
2020/7/6,1.3,1,1,0,3,77.4,12,0,5.1,1
2020/7/7,1.48,1,1,0,3,80.8,14.6,0,6.1,3
2020/7/8,1.63,1,1,0,3,77.8,13.7,0,5.9,1
2020/7/9,1.8,1,1,0,3,76.8,10.4,0,6,0
2020/7/10,1.75,1,1,0,3,78.6,8.7,0,6,0
2020/7/11,1.54,1,1,0,3,81.2,12.8,0,5.5,0
2020/7/12,1.52,1,1,0,3,81,6.6,0,6.2,1
2020/7/13,1.37,1,1,0,3,72.6,5.9,0,6.1,1
2020/7/14,1.42,1,1,0,3,75.2,5.2,0,5,0
2020/7/15,1.63,1,1,0,3,70.2,7.9,0,3.7,0
2020/7/16,1.64,1,1,0,3,72.6,6.5,0,6.1,1
2020/7/17,1.46,1,1,0,3,67.6,6,0,5,0
2020/7/18,1.35,1,1,0,3,69.8,3.7,0,5.1,1
2020/7/19,1.13,1,1,0,3,78,8,0,5.9,0
2020/7/20,1.3,1,1,0,3,83,7.6,0,5.8,2
2020/7/21,1.39,1,1,0,3,78.8,6,0,4.3,0
2020/7/22,1.48,1,1,0,3,79.8,6.9,0,5.5,2
2020/7/23,1.57,1,1,0,3,74.6,4.7,0,4.2,2
2020/7/24,1.42,1,1,0,3,78.4,4.8,0,6.1,2
2020/7/25,1.21,1,1,0,3,78.6,7.4,0,5.4,2
2020/7/26,1.25,1,1,0,3,82,7.7,0,5.7,2
2020/7/27,1.51,1,1,0,3,83.6,9.2,0,6.2,0
2020/7/28,1.69,1,1,0,3,84.2,9.1,0,6.2,3
2020/7/29,1.83,1,1,0,3,73.8,9.1,0,6.2,0
2020/7/30,1.7,1,1,0,3,75,6,0,5.9,6
2020/7/31,1.42,1,1,0,3,79.4,4.9,0,4.6,1
2020/8/1,1.11,1,1,0,3,83.4,9,0,6.2,4
2020/8/2,0.91,1,1,0,3,83.6,7.4,0,6.2,1
2020/8/3,0.86,1,1,0,3,85,6.6,0,6.2,5
2020/8/4,1.08,1,1,0,3,85.6,7.7,0,6.2,5
2020/8/5,1.2,1,1,0,3,86.2,8.3,0,6.2,5
2020/8/6,1.29,1,1,0,3,85.6,10.1,0,6.2,6
2020/8/7,1.16,1,1,0,3,85.4,10,0,6.1,8
2020/8/8,0.83,1,1,0,3,84.6,8.1,0,4.4,0
2020/8/9,0.53,1,1,0,3,86.6,9.7,0,6.1,5
2020/8/10,0.36,1,1,0,3,89,7.2,0,4.9,5
2020/8/11,0.45,1,1,0,3,89,11.2,0,6.2,6
2020/8/12,0.77,1,1,0,3,89.1,7.5,0,6.2,8
2020/8/13,1.06,1,1,0,3,90.6,7.2,0,6.1,7
2020/8/14,1.12,1,1,0,3,90.2,9.5,0,6.1,7
2020/8/15,0.98,1,1,0,3,91.6,6.6,0,5.9,13
2020/8/16,0.78,1,1,0,3,91.2,10.6,0,6.2,10
2020/8/17,0.73,1,1,0,3,90.8,7.7,0,6.1,9
2020/8/18,0.83,1,1,0,3,88.8,9.3,0,6.2,23
2020/8/19,1.01,1,1,0,3,88.4,7.1,0,6.2,13
2020/8/20,1.04,1,1,0,3,89.2,9,0,6.2,9
2020/8/21,0.89,1,1,0,3,89.8,8.5,0,6.1,18
2020/8/22,0.63,1,1,0,3,89.4,6.6,0,5.9,4
2020/8/23,0.47,1,1,0,3,78.8,5.5,0,5.5,9
2020/8/24,0.51,1,1,0,3,86.2,7.4,0,6.2,13
2020/8/25,0.74,1,1,0,3,86.6,8,0,6.2,18
2020/8/26,1.01,1,1,0,3,89.2,8.2,0,6.2,11
2020/8/27,1.09,1,1,0,3,87.8,6.6,0,6.2,11
2020/8/28,0.97,1,1,0,3,90.4,8.2,0,6.2,10
2020/8/29,0.74,1,1,0,3,89.8,9.3,0,6.2,20
2020/8/30,0.53,1,1,0,3,90,9.1,0,6.2,14
2020/8/31,0.5,1,1,0,3,85.6,9.9,0,6.2,13
2020/9/1,0.6,1,1,0,3,80.6,6.1,0,6.2,15
2020/9/2,0.76,1,1,0,3,86.6,4,0,6.2,14
2020/9/3,0.87,1,1,0,3,85.6,9.2,0,6.2,7
2020/9/4,0.8,1,1,0,3,89,9.9,0,6.2,18
2020/9/5,0.66,1,1,0,3,88,9.1,0,6.2,9
2020/9/6,0.6,1,1,0,3,80.2,8.4,0,5.7,5
2020/9/7,0.7,1,1,0,3,85.8,12.5,0,5.8,11
