date,R_t-estimate,school_closing,cancel_public_events,restrictions_on_gatherings,internationaltravel,temperature,windspeed,full_vaccination,visible,new_deaths
2020/3/9,1.55,0,1,0,0,45.8,12,0,6.5,1
2020/3/10,1.49,0,1,0,0,54.8,16.1,0,5.9,4
2020/3/11,1.48,0,1,0,0,51.9,12.8,0,6.7,0
2020/3/12,1.41,0,1,0,0,45.6,17.6,0,6.7,2
2020/3/13,1.24,0,1,0,0,47,11,0,8.2,1
2020/3/14,1.09,0,1,0,0,49,10.1,0,7.9,19
2020/3/15,0.99,0,1,0,0,49,11.1,0,6.4,14
2020/3/16,0.9,0,1,0,0,45.6,6.2,0,6.3,23
2020/3/17,0.94,0,1,0,0,48.3,10.3,0,6.6,17
2020/3/18,0.97,3,1,0,0,52.9,9.4,0,6.3,35
2020/3/19,1.03,3,1,0,0,44.9,6.4,0,2.9,46
2020/3/20,1.08,3,1,0,0,44.9,10.4,0,6.6,32
2020/3/21,1.12,3,1,0,0,43.6,11.6,0,6.7,58
2020/3/22,1.27,3,1,0,0,44.3,9.6,0,6.6,35
2020/3/23,1.45,3,1,4,0,43.9,7.4,0,6.6,76
2020/3/24,1.65,3,1,4,0,46.6,5.4,0,6.5,148
2020/3/25,1.94,3,1,4,0,44.8,4.3,0,6.5,191
2020/3/26,2.09,3,1,4,0,44.1,7.2,0,6.4,182
2020/3/27,2.05,3,1,4,0,45.1,7,0,6,288
2020/3/28,2.02,3,1,4,0,44.8,9.8,0,6.3,292
2020/3/29,1.97,3,1,4,0,40.9,10.6,0,6.7,213
2020/3/30,1.96,3,1,4,0,42.2,7.1,0,6.7,374
2020/3/31,1.99,3,1,4,0,42.6,7,0,6.5,404
2020/4/1,1.99,3,1,4,0,41.4,3.7,0,6.7,673
2020/4/2,1.94,3,1,4,0,48.2,8.3,0,6.7,657
2020/4/3,1.76,3,1,4,0,49.3,4.5,0,6.7,737
2020/4/4,1.55,3,1,4,0,48.9,6.1,0,6,757
2020/4/5,1.47,3,1,4,0,57.2,9.5,0,6.5,601
2020/4/6,1.53,3,1,4,0,55.2,7.3,0,6.9,570
2020/4/7,1.68,3,1,4,0,54.4,3.9,0,7.6,1105
2020/4/8,1.84,3,1,4,0,58.5,4.5,0,5.7,1032
2020/4/9,1.81,3,1,4,0,59,6.9,0,4.5,1117
2020/4/10,1.56,3,1,4,0,59,7,0,5.4,1123
2020/4/11,1.23,3,1,4,0,61.6,4.2,0,5.9,844
2020/4/12,0.95,3,1,4,0,62.3,5,0,6.1,657
2020/4/13,0.82,3,1,4,0,48.2,11.3,0,6.2,725
2020/4/14,0.86,3,1,4,0,46.3,5.5,0,6.7,1080
2020/4/15,1,3,1,4,0,50.6,5,0,6.7,884
2020/4/16,1.07,3,1,4,0,54.2,5,0,5.1,1040
2020/4/17,1.01,3,1,4,0,51.2,9.6,0,6.3,914
