date,R_t-estimate,school_closing,cancel_public_events,restrictions_on_gatherings,internationaltravel,temperature,windspeed,full_vaccination,visible,new_deaths
2020/4/5,0.96,3,2,4,4,47.7,8,0,999.9,75
2020/4/6,0.87,3,2,4,4,44.1,8,0,999.9,85
2020/4/7,0.9,3,2,4,4,51.2,7,0,999.9,61
2020/4/8,0.94,3,2,4,4,47.4,8,0,999.9,67
2020/4/9,0.95,3,2,4,4,46.2,8,0,999.9,123
2020/4/10,1.07,3,2,4,4,39.5,8,0,999.9,96
2020/4/11,1.13,3,2,4,4,39.3,8,0,999.9,119
2020/4/12,1.23,3,2,4,4,46,8,0,999.9,109
2020/4/13,1.46,3,2,4,4,51.4,8,0,999.9,130
2020/4/14,1.59,3,2,4,4,39.3,8,0,999.9,136
2020/4/15,1.52,3,2,4,4,35.4,8,0,999.9,154
2020/4/16,1.37,3,2,4,4,34,8,0,999.9,203
2020/4/17,1.1,3,2,4,4,36.5,8,0,999.9,126
2020/4/18,0.89,3,2,4,4,39,8,0,999.9,143
2020/4/19,0.88,3,2,4,4,45.9,8,0,999.9,158
2020/4/20,0.87,3,2,4,4,37,8,0,999.9,146
2020/4/21,1.01,3,2,4,4,40,8,0,999.9,193
2020/4/22,1.07,3,2,4,4,34.6,8,0,999.9,195
2020/4/23,0.95,3,2,4,4,35.9,8,0,999.9,171
2020/4/24,0.84,3,2,4,4,44.9,8,0,999.9,180
2020/4/25,0.78,3,2,4,4,46.5,8,0,999.9,187
2020/4/26,0.79,3,2,4,4,50.1,8,0,999.9,157
2020/4/27,0.95,3,2,4,4,49.2,8,0,999.9,185
2020/4/28,1.06,3,2,4,4,48,8,0,999.9,197
2020/4/29,1.08,3,2,4,4,49,8,0,999.9,244
2020/4/30,0.98,3,2,4,4,52.3,8,0,999.9,179
2020/5/1,0.87,3,2,4,4,52,8,0,999.9,202
2020/5/2,0.76,3,2,4,4,53.2,8,0,999.9,148
2020/5/3,0.75,3,2,4,4,58,8,0,999.9,140
2020/5/4,0.82,3,2,4,4,49.7,8,0,999.9,242
2020/5/5,0.88,3,2,4,4,41.8,8,0,999.9,170
2020/5/6,0.91,3,2,4,4,46.2,8,0,999.9,159
2020/5/7,0.87,3,2,4,4,47.9,8,0,999.9,147
2020/5/8,0.73,3,2,4,4,39,8,0,999.9,153
2020/5/9,0.69,3,2,4,4,34.9,8,0,999.9,164
2020/5/10,0.69,3,2,4,4,41,8,0,999.9,118
2020/5/11,0.77,3,2,4,4,41,8,0,999.9,134
2020/5/12,0.89,3,2,4,4,39.9,8,0,999.9,151
2020/5/13,0.98,3,2,4,4,42.8,8,0,999.9,103
2020/5/14,1.01,3,2,4,4,47.8,8,0,999.9,121
2020/5/15,0.97,3,2,4,4,53,8,0,999.9,121
2020/5/16,0.94,3,2,4,4,55,8,0,999.9,119
2020/5/17,0.94,3,2,4,4,55.1,8,0,999.9,90
2020/5/18,0.98,3,2,4,4,54.4,8,0,999.9,92
2020/5/19,1.01,3,2,4,4,58.3,8,0,999.9,75
2020/5/20,1.01,3,2,4,4,60.1,8,0,999.9,122
2020/5/21,0.95,3,2,4,4,59.7,8,0,999.9,96
2020/5/22,0.86,3,2,4,4,62.1,8,0,999.9,98
2020/5/23,0.72,3,2,4,4,66.9,8,0,999.9,94
2020/5/24,0.64,3,2,4,4,67.8,8,0,999.9,88
2020/5/25,0.63,3,2,4,4,72.9,8,0,999.9,94
2020/5/26,0.66,3,2,4,4,75.3,8,0,999.9,92
2020/5/27,0.71,3,2,4,4,76.2,8,0,999.9,94
2020/5/28,0.73,3,2,4,4,70.4,8,0,999.9,111
2020/5/29,0.77,3,2,4,4,66.8,8,0,999.9,80
2020/5/30,0.78,3,2,4,4,60,8,0,999.9,60
2020/5/31,0.77,3,2,4,4,53,8,0,999.9,49
2020/6/1,0.76,3,2,4,4,59.5,8,0,999.9,46
2020/6/2,0.75,3,2,4,4,64.3,8,0,999.9,56
2020/6/3,0.74,3,2,4,4,67.2,8,0,999.9,54
2020/6/4,0.76,3,2,4,4,71.3,7,0,999.9,64
2020/6/5,0.73,3,2,4,4,70.6,8,0,999.9,40
2020/6/6,0.74,3,2,4,4,70.2,8,0,999.9,62
2020/6/7,0.72,3,2,4,4,63.1,8,0,999.9,41
2020/6/8,0.68,3,2,4,4,63.1,8,0,999.9,44
2020/6/9,0.63,3,2,4,4,71.6,8,0,999.9,34
2020/6/10,0.62,3,2,4,4,74.5,8,0,999.9,35
2020/6/11,0.57,3,2,4,4,69.4,8,0,999.9,31
2020/6/12,0.57,3,2,4,4,62.9,8,0,999.9,29
2020/6/13,0.58,3,2,4,4,56.5,8,0,999.9,28
2020/6/14,0.62,3,2,4,4,57.2,8,0,999.9,19
2020/6/15,0.71,3,2,4,4,61.4,8,0,999.9,8
2020/6/16,0.82,3,2,4,4,64.4,8,0,999.9,24
2020/6/17,0.93,3,2,4,4,67.6,8,0,999.9,21
2020/6/18,0.98,3,2,4,4,71.5,8,0,999.9,13
2020/6/19,0.96,3,2,4,4,75.3,8,0,999.9,25
2020/6/20,0.93,3,2,4,4,76.8,8,0,999.9,29
2020/6/21,0.89,3,2,4,4,76.9,8,0,999.9,17
2020/6/22,0.88,3,2,4,4,77.5,8,0,999.9,20
2020/6/23,0.83,3,2,4,4,72.5,8,0,999.9,24
2020/6/24,0.81,3,2,4,4,67.4,8,0,999.9,30
2020/6/25,0.84,3,2,4,4,66.8,8,0,999.9,23
2020/6/26,0.87,3,2,4,4,73,8,0,999.9,7
2020/6/27,0.91,3,2,4,4,73.9,8,0,999.9,9
2020/6/28,0.92,3,2,4,4,75.3,8,0,999.9,10
2020/6/29,0.92,3,2,4,4,77.3,8,0,999.9,19
2020/6/30,0.9,3,2,4,4,75.5,8,0,999.9,12
2020/7/1,0.82,3,2,4,4,75.2,8,0,999.9,10
2020/7/2,0.75,3,2,4,4,83.7,8,0,999.9,16
2020/7/3,0.78,3,2,4,4,82.4,8,0,999.9,7
2020/7/4,0.83,3,2,4,4,79.7,8,0,999.9,8
2020/7/5,0.94,3,2,4,4,78.7,8,0,999.9,2
2020/7/6,1,3,2,4,4,79.5,8,0,999.9,13
2020/7/7,1.09,3,2,4,4,80.9,8,0,999.9,7
2020/7/8,1.08,3,2,4,4,81.2,8,0,999.9,12
2020/7/9,0.97,3,2,4,4,82.5,8,0,999.9,10
2020/7/10,1,3,2,4,4,81.6,8,0,999.9,14
2020/7/11,1.13,3,2,4,4,75.9,8,0,999.9,3
2020/7/12,1.27,3,2,4,4,73.8,8,0,999.9,5
2020/7/13,1.42,3,2,4,4,71.8,8,0,999.9,8
2020/7/14,1.47,3,2,4,4,72,8,0,999.9,5
2020/7/15,1.4,3,2,4,4,74.7,8,0,999.9,14
2020/7/16,1.22,3,2,4,4,75.1,8,0,999.9,12
2020/7/17,1.12,3,2,4,4,76.7,8,0,999.9,10
2020/7/18,1.18,3,2,4,4,79.5,8,0,999.9,3
2020/7/19,1.22,3,2,4,4,78.2,8,0,999.9,4
2020/7/20,1.3,3,2,4,4,77.7,8,0,999.9,4
2020/7/21,1.38,3,2,4,4,70.7,8,0,999.9,7
2020/7/22,1.33,3,2,4,4,72.7,8,0,999.9,4
2020/7/23,1.19,3,2,4,4,73.3,8,0,999.9,8
2020/7/24,1.02,3,2,4,4,73.8,8,0,999.9,4
2020/7/25,0.88,3,2,4,4,75.5,8,0,999.9,4
2020/7/26,0.85,3,2,4,4,79.9,8,0,999.9,4
2020/7/27,0.78,3,2,4,4,82,8,0,999.9,13
2020/7/28,0.85,3,2,4,4,77.3,8,0,999.9,10
2020/7/29,0.89,3,2,4,4,76.1,8,0,999.9,5
2020/7/30,0.8,3,2,4,4,74.4,8,0,999.9,13
2020/7/31,0.58,3,2,4,4,75.3,8,0,999.9,6
2020/8/1,0.64,3,2,4,4,75.6,8,0,999.9,4
2020/8/2,0.67,3,2,4,4,73.4,8,0,999.9,3
2020/8/3,0.84,3,2,4,4,70,8,0,999.9,3
2020/8/4,1.06,3,2,4,4,69.7,8,0,999.9,8
2020/8/5,1.14,3,2,4,4,68,8,0,999.9,6
2020/8/6,1.03,3,2,4,4,66.5,8,0,999.9,6
2020/8/7,1,3,2,4,4,69.7,8,0,999.9,5
2020/8/8,0.86,3,2,4,4,71.9,8,0,999.9,4
2020/8/9,0.94,3,2,4,4,74.9,8,0,999.9,3
2020/8/10,1.05,3,2,4,4,79,7,0,999.9,7
2020/8/11,1.06,3,2,4,4,78.9,8,0,999.9,6
2020/8/12,1.04,3,2,4,4,73,8,0,999.9,5
2020/8/13,0.89,3,2,4,4,76.2,8,0,999.9,6
2020/8/14,0.61,3,2,4,4,77.3,8,0,999.9,4
2020/8/15,0.79,3,2,4,4,73.6,8,0,999.9,6
2020/8/16,0.95,3,2,4,4,73,8,0,999.9,5
2020/8/17,1.12,3,2,4,4,69.4,8,0,999.9,2
2020/8/18,1.4,3,2,4,4,68.2,8,0,999.9,10
2020/8/19,1.38,3,2,4,4,65.7,8,0,999.9,6
2020/8/20,1.2,3,2,4,4,67,8,0,999.9,3
2020/8/21,1.15,3,2,4,4,73,8,0,999.9,14
2020/8/22,0.95,3,2,4,4,75.8,8,0,999.9,1
2020/8/23,1.08,3,2,4,4,77.3,8,0,999.9,4
