date,R_t-estimate,school_closing,cancel_public_events,restrictions_on_gatherings,internationaltravel,temperature,windspeed,full_vaccination,visible,new_deaths
2020/9/5,1.18,1,1,0,3,59.3,10.4,0,7.1,0
2020/9/6,1.3,1,1,0,3,55.7,7.1,0,7.1,0
2020/9/7,1.35,1,1,0,3,53.8,5.5,0,7.2,0
2020/9/8,1.41,1,1,0,3,51.9,7.8,0,7.1,0
2020/9/9,1.44,1,1,0,3,55.2,7.3,0,6.6,1
2020/9/10,1.4,1,1,0,3,53.5,15.6,0,7.2,0
2020/9/11,1.34,1,1,0,3,53,7.7,0,7.2,0
2020/9/12,1.33,1,1,0,3,56.4,13.1,0,6.7,0
2020/9/13,1.27,1,1,0,3,53.9,10.8,0,7.2,0
2020/9/14,1.3,1,1,0,3,53.5,7.1,0,6.3,0
2020/9/15,1.31,1,1,0,3,53.6,4.5,0,6.7,2
2020/9/16,1.29,1,1,0,3,56.1,9.6,0,5.8,0
2020/9/17,1.29,1,1,0,3,47.3,18,0,7.2,0
2020/9/18,1.29,1,1,0,3,50.2,9.5,0,7.2,0
2020/9/19,1.32,1,1,0,3,49.4,9.4,0,7.2,0
2020/9/20,1.41,1,1,0,3,50.9,8,0,7.1,0
2020/9/21,1.46,1,1,0,3,54.4,10.2,0,7.2,2
2020/9/22,1.48,1,1,0,3,53.7,7.4,0,7,0
2020/9/23,1.47,1,1,0,3,56.3,6.5,0,6.7,2
2020/9/24,1.44,1,1,0,3,59.9,6.8,0,4.8,0
2020/9/25,1.37,1,1,0,3,59.4,6.2,0,6.4,0
2020/9/26,1.33,1,1,0,3,59.5,7.6,0,6.5,0
2020/9/27,1.31,1,1,0,3,59.9,7.1,0,6.5,0
2020/9/28,1.3,1,1,0,3,56.7,6.6,0,6.7,2
2020/9/29,1.31,1,1,0,3,54.8,5.1,0,6.4,0
2020/9/30,1.32,1,1,0,3,54.4,5.3,0,6.6,1
2020/10/1,1.34,1,1,0,3,53,7.4,0,5.2,0
2020/10/2,1.36,1,1,0,3,53.2,7.6,0,6.1,1
2020/10/3,1.39,1,1,0,3,54.6,9.7,0,6.7,0
2020/10/4,1.4,1,1,0,3,54.5,13.5,0,7.8,0
2020/10/5,1.43,1,1,0,3,57.8,8.5,0,6.1,1
2020/10/6,1.45,1,1,0,3,56.6,11.3,0,5.9,0
2020/10/7,1.48,1,1,0,3,54.6,7.1,0,7.1,0
2020/10/8,1.47,1,1,0,3,55.2,8.2,0,6.3,0
2020/10/9,1.43,1,1,0,3,52.5,10.2,0,6.6,0
2020/10/10,1.39,1,1,0,3,51.2,7.4,0,7.4,0
2020/10/11,1.35,1,1,3,3,49.1,4.6,0,6.6,0
2020/10/12,1.3,1,1,3,3,47.4,6.5,0,6.4,0
2020/10/13,1.26,1,1,3,3,44.4,3.7,0,7.8,0
2020/10/14,1.21,1,1,3,3,43.4,8.1,0,5.8,4
2020/10/15,1.16,1,1,3,3,40.2,8.1,0,7.4,0
2020/10/16,1.08,1,1,3,3,36.2,5.6,0,7.8,1
2020/10/17,1.04,1,1,3,3,40.7,7.1,0,7,0
2020/10/18,1.04,1,1,3,3,39.4,7.1,0,7.5,0
2020/10/19,1.05,1,1,3,3,34.6,8.1,0,6.7,0
2020/10/20,1.09,1,1,3,3,32.4,5.6,0,7.6,0
2020/10/21,1.11,1,1,3,3,41.2,9.2,0,5.4,4
2020/10/22,1.11,1,1,3,3,49.2,9.3,0,3.6,0
2020/10/23,1.07,1,1,3,3,45,9.4,0,7.1,2
2020/10/24,1.02,1,1,3,3,36.6,4,0,6.9,0
2020/10/25,1,1,1,3,3,42,5.3,0,6.8,0
2020/10/26,0.99,1,1,3,3,49.9,11.4,0,5,1
2020/10/27,1.04,1,1,3,3,51.5,10.5,0,3.8,0
2020/10/28,1.08,1,1,3,3,49.2,12.3,0,6,0
2020/10/29,1.12,1,1,3,3,48.7,8,0,6.6,0
2020/10/30,1.11,1,1,3,3,45,2.3,0,3.3,4
2020/10/31,1.07,1,1,3,3,41.3,2.7,0,4.5,0
2020/11/1,1.04,1,1,3,3,46.3,10.2,0,6.4,0
2020/11/2,1.03,1,1,3,3,45.6,18.3,0,7,1
2020/11/3,1.04,1,1,3,3,50.6,14.1,0,5.5,0
2020/11/4,1.03,1,1,3,3,42.7,7.4,0,6.9,2
2020/11/5,1.05,1,1,3,3,43.7,10.6,0,7.8,0
2020/11/6,1.03,1,1,3,3,45.9,9,0,7.5,1
2020/11/7,1,1,1,3,3,46.8,8.5,0,7.7,0
2020/11/8,1,1,1,3,3,37.7,7,0,6.9,0
2020/11/9,1.01,1,1,3,3,37.6,7.6,0,6.5,1
2020/11/10,1.03,1,1,3,3,31.8,3.2,0,1.8,0
2020/11/11,1.09,1,1,3,3,39.2,2.5,0,4.9,2
2020/11/12,1.08,1,1,3,3,43.5,6.9,0,6.2,0
2020/11/13,1.08,1,1,3,3,40.8,7.7,0,7.1,4
2020/11/14,1.05,1,1,3,3,39.2,6.8,0,7,0
2020/11/15,1.02,1,1,3,3,38.3,8.8,0,6.5,0
2020/11/16,1.03,1,1,3,3,39.4,12.1,0,6.5,2
2020/11/17,1.11,1,1,3,3,42.5,13.4,0,5.7,0
2020/11/18,1.24,1,1,3,3,49.6,14.7,0,5.3,3
2020/11/19,1.37,1,1,3,3,46.4,21.5,0,5.2,0
2020/11/20,1.43,1,1,3,3,31.5,9.3,0,5.8,1
2020/11/21,1.4,1,1,3,3,34.2,11.8,0,7.3,0
2020/11/22,1.32,1,1,3,3,41.5,8.3,0,7.4,0
2020/11/23,1.26,1,2,3,3,38.5,8.2,0,7.5,9
2020/11/24,1.25,1,2,3,3,34.4,6.3,0,7.6,0
2020/11/25,1.29,1,2,3,3,37.2,7,0,5.8,4
2020/11/26,1.31,1,2,3,3,40.9,8,0,6.5,0
2020/11/27,1.29,1,2,3,3,32.9,9.2,0,7.7,5
2020/11/28,1.23,1,2,3,3,33.5,7.2,0,7.8,0
2020/11/29,1.16,1,2,3,3,32.3,8.2,0,5.5,0
2020/11/30,1.12,1,2,4,3,31.8,5.9,0,6.3,6
2020/12/1,1.08,1,2,4,3,38.1,7.8,0,5.8,0
2020/12/2,1.09,1,2,4,3,36,10.1,0,5.9,9
2020/12/3,1.09,2,2,4,3,31.5,9.7,0,6.7,0
2020/12/4,1.05,2,2,4,3,34,13.6,0,6.6,0
2020/12/5,0.98,2,2,4,3,38.2,11.4,0,5.3,7
2020/12/6,0.95,2,2,4,3,37.7,10.3,0,6.3,0
2020/12/7,1.01,2,2,4,3,33.7,11.9,0,6.6,9
2020/12/8,1.1,2,2,4,3,29.7,9.3,0,7.5,0
2020/12/9,1.17,2,2,4,3,27,8.1,0,7.4,9
2020/12/10,1.19,2,2,4,3,26.8,4.5,0,7,9
2020/12/11,1.14,2,2,4,3,28.9,5.9,0,6.8,11
2020/12/12,1.02,2,2,4,3,32.6,6.5,0,6.2,0
2020/12/13,0.92,2,2,4,3,28.8,6.2,0,6.7,0
2020/12/14,0.83,2,2,4,3,28.5,3.6,0,6.5,8
2020/12/15,0.83,2,2,4,3,33.9,6.7,0,6,5
2020/12/16,0.85,2,2,4,3,36.3,9.4,0,4.9,6
2020/12/17,0.85,2,2,4,3,33.1,6.2,0,5.3,12
2020/12/18,0.83,2,2,4,3,36.6,7,0,3.4,5
2020/12/19,0.81,2,2,4,3,38.7,6.1,0,1.9,0
2020/12/20,0.8,2,2,4,3,41,12.6,0,3.3,0
2020/12/21,0.83,2,2,4,3,37.8,12.7,0,2.8,17
2020/12/22,0.85,2,2,4,3,39.1,10.6,0,5.4,5
2020/12/23,0.85,2,2,4,3,34.9,8,0,4.2,13
2020/12/24,0.81,2,2,4,3,33.9,4.2,0,7.8,0
2020/12/25,0.75,2,2,4,3,31.9,8.5,0,7.8,0
2020/12/26,0.7,2,2,4,3,28.3,6.3,0,7.8,0
2020/12/27,0.71,2,2,4,3,32,13.9,0,6.1,0
2020/12/28,0.78,2,2,4,3,32.3,15.6,0,7.3,22
2020/12/29,0.89,2,2,4,3,32.5,12.9,0,3.5,4
2020/12/30,0.96,2,2,4,3,35.7,12.6,0,4.7,6
2020/12/31,0.96,2,2,4,3,33.6,3.7,0.03,3.8,5
2021/1/1,0.91,2,2,4,3,33,3,0.03,3,0
2021/1/2,0.85,2,2,4,3,30.4,8.4,0.03,4,0
2021/1/3,0.82,2,2,4,3,26.6,7.3,0.03,4.6,0
2021/1/4,0.85,2,2,4,3,28.4,6.5,0.06,7,4
2021/1/5,0.91,2,2,4,3,25.2,6.5,0.1,6.7,11
2021/1/6,0.99,2,2,4,3,25.4,8.5,0.1,6.6,0
2021/1/7,1.02,2,2,4,3,27.9,11.6,0.15,5.3,8
2021/1/8,1.02,2,2,4,3,25.4,9.4,0.2,7.1,2
2021/1/9,0.97,2,2,4,3,16.3,4.5,0.2,6.6,0
2021/1/10,0.95,2,2,4,3,22.2,7.5,0.2,5.1,0
2021/1/11,0.95,2,2,4,3,30.8,10.8,0.26,3.9,11
2021/1/12,0.97,2,2,4,3,29.8,17,0.32,2.3,5
2021/1/13,0.98,2,2,4,3,19.4,14.7,0.42,3.1,0
2021/1/14,1,2,2,4,3,3.3,9.2,0.6,6.6,14
2021/1/15,0.98,2,2,4,3,-2.8,6.7,0.78,8.1,2
2021/1/16,0.94,2,2,4,3,-1.2,4.6,0.78,6.1,0
2021/1/17,0.94,2,2,4,3,8,3.1,0.78,5.5,0
2021/1/18,1,2,2,4,3,15.7,1.8,0.98,4.5,0
2021/1/19,1.08,2,2,4,3,30.5,7,1.01,4.6,3
2021/1/20,1.2,2,2,4,3,23.4,8.2,1.12,5.6,11
2021/1/21,1.24,2,2,4,3,23.8,12.9,1.41,2.2,0
2021/1/22,1.21,2,2,4,3,34.3,9.5,1.64,3.2,12
2021/1/23,1.14,2,2,4,3,36.7,12.4,1.64,6.4,0
2021/1/24,1.09,2,2,4,3,34.4,7.2,1.64,3.9,0
2021/1/25,1.09,2,2,4,3,33.2,9.1,1.99,4.3,11
2021/1/26,1.13,2,2,4,3,32.5,6.4,2.11,4,0
2021/1/27,1.19,2,2,4,3,31.3,4.9,2.29,2.8,5
2021/1/28,1.22,2,2,4,3,24.6,5.2,2.49,5.9,4
2021/1/29,1.19,2,2,4,3,24.4,9.2,2.74,4.1,7
2021/1/30,1.12,2,2,4,3,20.6,10.3,2.92,2.4,0
2021/1/31,1.02,2,2,4,3,19,5.9,2.92,5.7,0
2021/2/1,0.98,2,2,4,3,15.6,2.9,2.95,5,6
2021/2/2,0.97,2,2,4,3,19.3,4.6,2.96,5.7,7
2021/2/3,0.99,2,2,4,3,17.1,10.1,3.12,4.9,1
2021/2/4,1.03,2,2,4,3,6.1,8.5,3.5,6.7,3
2021/2/5,1.07,2,2,4,3,3.4,7.6,3.74,6.1,0
2021/2/6,1.08,2,2,4,3,5.6,6,3.93,7.2,0
2021/2/7,1.08,2,2,4,3,17,7.5,3.97,7.2,0
2021/2/8,1.07,2,2,4,3,16.5,5.5,3.98,7.2,0
2021/2/9,1.07,2,2,4,3,7.3,4.8,4.1,5.2,15
2021/2/10,1.08,2,2,4,3,3,3.8,4.21,6.3,0
2021/2/11,1.07,2,2,4,3,24.9,6.9,4.46,7.9,5
2021/2/12,1.04,2,2,4,3,19.8,9.6,4.71,7.4,2
2021/2/13,1.02,2,2,4,3,15,5.5,4.92,7.7,0
2021/2/14,1.03,2,2,4,3,19.4,8.7,4.98,7.6,0
2021/2/15,1.08,2,2,4,3,1.5,4.9,5,6.2,6
2021/2/16,1.14,2,2,4,3,2,3.3,5.12,7,4
2021/2/17,1.21,2,2,4,3,19.8,6.6,5.37,7.9,3
2021/2/18,1.25,2,2,4,3,30.6,10.4,5.66,3.4,2
2021/2/19,1.23,2,2,4,3,29.5,8.5,6.01,7.5,0
2021/2/20,1.17,2,2,4,3,17.2,9.9,6.29,5.2,1
2021/2/21,1.1,2,2,4,3,21.5,10.1,6.29,3,0
2021/2/22,1.07,2,2,4,3,29.9,7.2,6.29,1.2,7
2021/2/23,1.11,2,2,4,3,36.9,8,6.29,3,1
2021/2/24,1.16,2,2,4,3,36.7,9.8,6.8,6.6,3
2021/2/25,1.23,2,2,4,3,35.1,10.6,7.15,7.6,3
2021/2/26,1.23,2,2,4,3,38.4,9.5,7.69,7.5,2
2021/2/27,1.19,2,2,4,3,36.9,8.4,7.98,7.6,0
2021/2/28,1.15,2,2,4,3,36.9,11.6,8.15,7.7,0
2021/3/1,1.14,2,2,4,3,35.3,9.9,8.41,7,8
2021/3/2,1.16,2,2,4,3,27.6,9.6,8.41,7.6,5
2021/3/3,1.19,2,2,4,3,21.9,7.9,8.79,7.6,4
2021/3/4,1.19,2,2,4,3,28.2,12.2,9.18,6.7,5
2021/3/5,1.14,2,2,4,3,23.2,12.8,9.6,6.6,3
2021/3/6,1.05,2,2,4,3,17.9,7,10.19,6.3,0
2021/3/7,0.99,2,2,4,3,16.1,11.6,10.19,4,0
2021/3/8,0.98,2,2,4,3,9.2,11,10.21,7.2,7
2021/3/9,1.03,2,2,4,3,24.4,13.8,10.38,7.3,2
2021/3/10,1.09,2,2,4,3,28.4,11.6,10.82,4.5,0
2021/3/11,1.15,2,2,4,3,34.1,7.4,11.27,4.9,0
2021/3/12,1.15,2,2,4,3,32.6,5.1,11.74,2.3,10
2021/3/13,1.09,2,2,4,3,33,7.1,12.15,5,0
2021/3/14,1.05,2,2,4,3,31.7,4.9,12.31,6.4,0
2021/3/15,1.03,2,2,4,3,31.2,6.2,12.32,5.9,14
2021/3/16,1.04,2,2,4,3,25.5,7.8,12.57,8.6,1
2021/3/17,1.09,2,2,4,3,19.4,7.1,13.03,7.5,3
2021/3/18,1.1,2,2,4,3,27.9,11.5,13.68,5.4,1
2021/3/19,1.08,2,2,4,3,33.5,13.6,14.21,6.3,0
2021/3/20,1.01,2,2,4,3,27.7,7.5,14.64,7.7,0
2021/3/21,0.94,2,2,4,3,32.6,6.3,14.77,7,0
2021/3/22,0.92,2,2,4,3,35.4,12.7,14.8,7.5,3
2021/3/23,0.92,2,2,4,3,38,7.2,14.97,4.3,0
2021/3/24,0.96,2,2,4,3,36.9,4.9,15.27,3.1,1
2021/3/25,0.99,2,2,4,3,40.4,7.1,15.71,4.6,6
2021/3/26,0.96,2,2,4,3,39.3,10.2,16.19,6.4,2
2021/3/27,0.88,2,2,4,3,39,14.7,16.6,4.5,0
2021/3/28,0.81,2,2,4,3,41.4,8.1,16.6,4.9,0
2021/3/29,0.8,2,2,4,3,40.6,7.9,16.8,7.4,5
2021/3/30,0.83,2,2,4,3,38.9,8.9,17.15,7.7,4
2021/3/31,0.86,2,2,4,3,37.4,7,17.69,7.7,18
2021/4/1,0.88,2,2,4,3,37.3,8.6,18.39,7.7,2
2021/4/2,0.84,2,2,4,3,40.2,14.6,19.01,7.5,0
2021/4/3,0.77,2,2,4,3,36.2,19.5,19.13,6.3,0
2021/4/4,0.69,2,2,4,3,36.1,17.4,19.17,7.3,0
2021/4/5,0.65,2,2,4,3,37.5,11.6,19.17,7,0
