date,R_t-estimate,school_closing,cancel_public_events,restrictions_on_gatherings,internationaltravel,temperature,windspeed,full_vaccination,visible,new_deaths
2020/3/24,2.09,3,2,4,4,74.2,3.6,0,1.8,0
2020/3/25,1.98,3,2,4,4,76.6,4.4,0,1.7,2
2020/3/26,1.84,3,2,4,4,73.3,5.9,0,1.6,8
2020/3/27,1.82,3,2,4,4,69.5,4.9,0,1.7,0
2020/3/28,1.8,3,2,4,4,72,5.6,0,1.8,4
2020/3/29,2.02,3,2,4,4,74.8,7.1,0,1.9,3
2020/3/30,2.3,3,2,4,4,73.3,5.7,0,1.9,5
2020/3/31,2.32,3,2,4,4,75,4.8,0,2.1,3
2020/4/1,2.33,3,2,4,4,75.9,5.3,0,2.1,23
2020/4/2,2.22,3,2,4,4,75.9,6.6,0,2,14
2020/4/3,2.22,3,2,4,4,74.7,4.6,0,2.1,0
2020/4/4,2.19,3,2,4,4,76.2,4,0,2.1,14
2020/4/5,2.12,3,2,4,4,79.2,3.4,0,1.9,13
2020/4/6,2.05,3,2,4,4,84.2,5,0,2,37
2020/4/7,1.97,3,2,4,4,79.3,6.9,0,2,14
2020/4/8,1.81,3,2,4,4,79.6,6.2,0,2.1,28
2020/4/9,1.69,3,2,4,4,78.6,4.2,0,2.2,48
2020/4/10,1.61,3,2,4,4,83.3,2.9,0,2,20
2020/4/11,1.6,3,2,4,4,85.6,5.2,0,2.1,42
2020/4/12,1.56,3,2,4,4,84.6,4.7,0,2.3,43
2020/4/13,1.51,3,2,4,4,86.7,3.8,0,2.2,27
2020/4/14,1.43,3,2,4,4,89.9,2.6,0,2.2,35
2020/4/15,1.38,3,2,4,4,89.6,3.5,0,2,12
2020/4/16,1.43,3,2,4,4,89.5,5.4,0,2.2,43
2020/4/17,1.41,3,2,4,4,87.1,5.5,0,2.2,38
2020/4/18,1.45,3,2,4,4,83.1,6.3,0,2.1,35
2020/4/19,1.43,3,2,4,4,83.3,3.6,0,2.1,38
2020/4/20,1.39,3,2,4,4,79.9,4.1,0,2.1,33
2020/4/21,1.34,3,2,4,4,83,3.7,0,2,53
2020/4/22,1.3,3,2,4,4,85.7,3.1,0,2.3,36
2020/4/23,1.27,3,2,4,4,84.2,3.7,0,2,40
2020/4/24,1.28,3,2,4,4,85.7,2.7,0,2.5,59
2020/4/25,1.26,3,2,4,4,87.3,4.9,0,2.5,45
2020/4/26,1.24,3,2,4,4,75.2,6.4,0,1.7,56
2020/4/27,1.21,3,2,4,4,80.7,8.8,0,2.4,58
2020/4/28,1.25,3,2,4,4,84.3,3.7,0,2.4,69
2020/4/29,1.29,3,2,4,4,87.6,4.2,0,2.2,71
2020/4/30,1.38,3,2,4,4,88.8,3.2,0,2.1,75
2020/5/1,1.54,3,2,4,4,88.5,6.4,0,2.1,69
2020/5/2,1.61,3,2,4,4,85.8,9.6,0,1.7,100
2020/5/3,1.66,3,2,4,4,80.4,6.4,0,1.8,68
2020/5/4,1.63,3,2,4,4,83.5,3.2,0,2.3,175
2020/5/5,1.52,3,2,4,4,87.6,4,0,2.2,127
2020/5/6,1.38,3,2,4,4,85.4,4.4,0,2.1,92
2020/5/7,1.31,3,2,4,4,86.8,4.6,0,2.7,104
2020/5/8,1.22,3,2,4,4,90.4,4.8,0,2.2,96
2020/5/9,1.21,3,2,4,4,92.4,5.5,0,2.3,116
2020/5/10,1.18,3,2,4,4,81.2,7.3,0,1.8,111
2020/5/11,1.17,3,2,4,4,85.5,6.2,0,2,82
2020/5/12,1.14,3,2,4,4,88.7,4.5,0,2.5,121
2020/5/13,1.16,3,2,4,4,86.4,3.4,0,1.8,136
2020/5/14,1.2,3,2,4,4,86.9,5.2,0,2.2,98
2020/5/15,1.27,3,2,4,4,90,6,0,2.4,104
2020/5/16,1.37,3,2,4,4,91.2,4.8,0,2.4,118
2020/5/17,1.41,3,2,4,4,90.2,2.9,0,1.6,154
2020/5/18,1.43,3,2,4,4,91.8,4.1,0,2.2,131
2020/5/19,1.44,3,2,4,4,93.3,3.3,0,2.2,146
