date,R_t-estimate,school_closing,cancel_public_events,restrictions_on_gatherings,internationaltravel,temperature,windspeed,full_vaccination,visible,new_deaths
2020/2/26,2.99,3,2,4,3,53.3,9,0,6.1,2
2020/2/27,3.06,3,2,4,3,47.4,6,0,6.4,5
2020/2/28,2.9,3,2,4,3,55.1,8.4,0,6,4
2020/2/29,2.71,3,2,4,3,51.6,8.4,0,6.3,8
2020/3/1,2.51,3,2,4,3,56.9,12.5,0,5.5,5
2020/3/2,2.35,3,2,4,3,56.1,13.2,0,5.7,18
2020/3/3,2.21,3,2,4,3,51.2,9,0,6.2,27
2020/3/4,2.29,3,2,4,3,48.5,5.3,0,6.3,28
2020/3/5,2.37,3,2,4,3,50.1,7.8,0,7.3,41
2020/3/6,2.52,3,2,4,3,54.1,9.8,0,5.6,49
2020/3/7,2.24,3,2,4,3,50.9,4.7,0,6.2,36
2020/3/8,2.17,3,2,4,3,50.2,6.2,0,6.2,133
2020/3/9,2.09,3,2,4,3,48.7,4.4,0,6.4,97
2020/3/10,2.02,3,2,4,3,51.1,4.8,0,6.6,168
2020/3/11,2.08,3,2,4,3,54.4,3.6,0,6.2,196
2020/3/12,2.08,3,2,4,3,56.5,4.8,0,6.2,189
2020/3/13,1.92,3,2,4,3,54.5,3.3,0,6.1,250
2020/3/14,1.79,3,2,4,3,55.8,2.9,0,6.2,175
2020/3/15,1.56,3,2,4,3,55.6,5.8,0,6.2,368
2020/3/16,1.57,3,2,4,3,54.6,4.7,0,6.7,349
2020/3/17,1.7,3,2,4,3,54.5,3.5,0,6.7,345
2020/3/18,1.8,3,2,4,3,56.3,4,0,6.2,475
2020/3/19,1.76,3,2,4,3,58,4.5,0,6.4,427
2020/3/20,1.56,3,2,4,3,56.5,3.8,0,6.2,627
2020/3/21,1.29,3,2,4,3,56.6,3.2,0,6.2,793
2020/3/22,1.01,3,2,4,3,57.2,4.8,0,6.2,651
2020/3/23,0.91,3,2,4,3,48.4,13.3,0,6.2,601
2020/3/24,0.95,3,2,4,3,42.4,11.8,0,6.2,743
2020/3/25,1.06,3,2,4,3,45,5.7,0,6.2,683
2020/3/26,1.13,3,2,4,3,47.7,3.7,0,5.5,712
2020/3/27,1,3,2,4,3,52.7,5.1,0,6.3,919
2020/3/28,0.78,3,2,4,3,53.4,3.9,0,6.2,889
