date,R_t-estimate,school_closing,cancel_public_events,restrictions_on_gatherings,internationaltravel,temperature,windspeed,full_vaccination,visible,new_deaths
2020/9/6,1.3,1,1,4,3,56.6,5.1,0,7.2,0
2020/9/7,1.21,1,1,4,3,60,5.8,0,6.7,0
2020/9/8,1.15,1,1,4,3,64,5,0,6.7,0
2020/9/9,1.19,1,1,4,3,65.9,5.1,0,6.7,0
2020/9/10,1.16,1,1,4,3,66,7.3,0,7,0
2020/9/11,1.21,1,1,4,3,65.4,5.1,0,6.7,0
2020/9/12,1.22,1,1,4,3,66.6,6,0,7.2,0
2020/9/13,1.29,1,1,4,3,68,4.3,0,6.8,0
2020/9/14,1.44,1,1,4,3,74.3,5.6,0,6.9,0
2020/9/15,1.66,1,1,4,3,76.5,4.7,0,7.2,0
2020/9/16,1.69,1,1,4,3,73.6,6.4,0,6.8,0
2020/9/17,1.64,1,1,4,3,64.2,12.9,0,6.4,0
2020/9/18,1.55,1,1,4,3,63.7,10.6,0,7.3,0
2020/9/19,1.46,1,1,4,3,67.5,6.4,0,6.7,0
2020/9/20,1.39,1,1,4,3,67.3,7.1,0,6.7,0
2020/9/21,1.34,1,1,4,3,66.2,5.2,0,6.7,0
2020/9/22,1.31,1,1,4,3,66.5,4.5,0,6.7,0
2020/9/23,1.25,1,1,4,3,62.7,7.5,0,6.7,0
2020/9/24,1.14,1,1,4,3,56.9,10.6,0,6.3,0
2020/9/25,1.05,1,1,4,3,47.5,12.5,0,5.9,0
2020/9/26,1.01,1,1,4,3,47.1,15.4,0,6.1,0
2020/9/27,1.04,1,1,4,3,48.1,7.4,0,4.4,0
2020/9/28,1.09,1,1,4,3,47.7,4.8,0,5.6,0
2020/9/29,1.14,1,1,4,3,53.8,6.8,0,4,0
2020/9/30,1.16,1,1,4,3,56.5,4.8,0,3.3,0
2020/10/1,1.12,1,1,4,3,52,6.9,0,4.6,1
2020/10/2,1.1,1,1,4,3,52.3,7.2,0,4.9,0
2020/10/3,1.1,1,1,4,3,49.8,8.3,0,5.5,0
2020/10/4,1.14,1,1,4,3,48.5,11.3,0,5.7,0
2020/10/5,1.2,1,1,4,3,49.4,10.7,0,4.9,2
2020/10/6,1.26,1,1,4,3,51,12.6,0,4.9,1
2020/10/7,1.31,1,1,4,3,51.3,11.5,0,5.9,0
2020/10/8,1.37,1,1,4,3,53.8,11,0,5.3,1
2020/10/9,1.31,1,1,4,3,53.3,8.2,0,3.9,1
2020/10/10,1.3,1,1,4,3,47.9,8.2,0,6.6,1
2020/10/11,1.26,1,1,4,3,46.7,5.9,0,6.2,1
2020/10/12,1.25,1,1,4,3,46.2,6.3,0,6.3,1
2020/10/13,1.28,1,1,4,3,45.5,6.1,0,3.9,0
2020/10/14,1.27,1,1,4,3,45.2,10.3,0,6.2,0
2020/10/15,1.34,1,1,4,3,44.7,11.2,0,5.7,0
2020/10/16,1.37,1,1,4,3,46.8,10.1,0,7,0
2020/10/17,1.37,1,1,4,3,45.1,5.3,0,6,0
2020/10/18,1.42,1,1,4,3,44.5,3.4,0,4.2,0
2020/10/19,1.56,1,1,4,3,46.4,4.4,0,4,2
2020/10/20,1.7,1,2,4,3,50.9,6.2,0,7.3,1
2020/10/21,1.73,1,2,4,3,58.6,9.5,0,6.7,2
2020/10/22,1.57,1,2,4,3,59.7,7.3,0,6.2,2
2020/10/23,1.64,1,2,4,3,55.4,6.5,0,5.2,1
2020/10/24,1.62,1,2,4,3,53.1,9.4,0,5.6,0
2020/10/25,1.7,1,2,4,3,50.3,8.8,0,6.7,0
2020/10/26,1.77,1,2,4,3,47.5,9.2,0,6.2,6
2020/10/27,1.79,1,2,4,3,47,10,0,6,0
2020/10/28,1.64,1,2,4,3,51.1,11.8,0,5.1,0
2020/10/29,1.37,1,2,4,3,49.3,11.6,0,5.2,3
2020/10/30,1.22,1,2,4,3,53.4,9.9,0,5.4,2
2020/10/31,1.22,1,2,4,3,53.5,6.9,0,6.6,0
2020/11/1,1.29,1,2,4,3,56.9,10.6,0,4.4,0
2020/11/2,1.39,1,2,4,3,60.4,13.7,0,5.7,8
2020/11/3,1.4,1,2,4,3,46.5,7.4,0,6.5,7
2020/11/4,1.28,1,2,4,3,40.5,6,0,6,4
2020/11/5,1.04,1,2,4,3,41.5,10.1,0,5.8,6
2020/11/6,0.83,1,2,4,3,43.1,8.9,0,6.4,3
2020/11/7,0.81,1,2,4,3,46.2,4.3,0,6.5,0
2020/11/8,0.79,1,2,4,3,50.3,3.7,0,6.4,0
2020/11/9,0.96,1,2,4,3,53.7,4.2,0,6.4,13
2020/11/10,1.11,1,2,4,3,48.5,2.3,0,1.6,5
2020/11/11,1.16,1,2,4,3,47.6,4.2,0,0.2,0
2020/11/12,1.07,1,2,4,3,47.1,7.5,0,4,13
2020/11/13,0.95,1,2,4,3,48,5.6,0,4.9,8
2020/11/14,0.9,1,2,4,3,51.1,7,0,5.5,0
2020/11/15,0.98,1,2,4,3,52.1,11.7,0,6.1,0
2020/11/16,1,1,2,4,3,47.3,11.9,0,5.3,17
2020/11/17,1.11,1,2,4,3,47.9,7.7,0,5.8,4
2020/11/18,1.1,1,2,4,3,46.8,5.4,0,5.1,8
2020/11/19,0.93,1,2,4,3,45.1,10,0,5.7,6
2020/11/20,0.79,1,2,4,3,37,4.4,0,6,6
2020/11/21,0.76,1,2,4,3,34.9,4,0,5.8,0
2020/11/22,0.82,1,2,4,3,38.9,4.8,0,6.2,0
2020/11/23,0.98,1,2,4,3,42.4,3.9,0,1.9,13
2020/11/24,1.11,1,2,4,3,38.4,5.1,0,0.5,10
2020/11/25,1.1,1,2,4,3,39,5.2,0,3,5
2020/11/26,0.95,1,2,4,3,36.8,3.5,0,3.6,6
2020/11/27,0.82,1,2,4,3,35.6,5.4,0,2.8,6
2020/11/28,0.81,1,2,4,3,36.4,7.1,0,3.5,0
2020/11/29,0.89,1,2,4,3,31.1,8.4,0,4.7,0
2020/11/30,1.03,1,2,4,3,29.6,5.6,0,4.5,21
2020/12/1,1.15,1,2,4,3,36.7,5.8,0,2.3,9
2020/12/2,1.13,1,2,4,3,35.6,6.1,0,2.4,4
2020/12/3,0.97,1,2,4,3,34.5,10.1,0,1.4,5
2020/12/4,0.87,1,2,4,3,39.2,9.1,0,5.6,6
2020/12/5,0.81,1,2,4,3,36.1,6.5,0,5.6,0
2020/12/6,0.76,1,2,4,3,34.9,4.7,0,4,0
2020/12/7,0.94,1,2,4,3,34.6,6.3,0,3.5,15
2020/12/8,1.09,1,2,4,3,32.6,6.6,0,1.6,0
2020/12/9,1.18,1,2,4,3,31.7,5.3,0,2.3,0
2020/12/10,1.14,1,2,4,3,31.8,5.1,0,3.9,24
2020/12/11,1.03,1,2,4,3,34.6,8.5,0,2.3,8
2020/12/12,0.99,1,2,4,3,42.8,5.4,0,2.9,0
2020/12/13,0.98,1,2,4,3,40.4,7.4,0.19,6,0
2020/12/14,0.91,1,2,4,3,42.3,7.6,0.19,6.2,18
2020/12/15,0.97,1,2,4,3,45.5,6.5,0.19,3.7,8
2020/12/16,0.95,1,2,4,3,46,6,0.19,3.9,3
2020/12/17,0.82,1,2,4,3,45.1,7.4,0.19,6.6,7
2020/12/18,0.68,1,2,4,3,40.8,5.2,0.19,1.9,6
2020/12/19,0.64,1,2,4,3,47.5,7.6,0.19,5.2,0
2020/12/20,0.67,1,2,4,3,46.1,6.9,0.19,4.6,0
2020/12/21,0.71,1,2,4,3,43.9,9,0.19,4.3,16
2020/12/22,0.69,1,2,4,3,52.8,12.3,0.19,3.1,3
2020/12/23,0.6,1,2,4,3,51.2,9.5,0.19,4.9,5
2020/12/24,0.43,1,2,4,3,39.3,9.8,0.19,5.8,0
2020/12/25,0.32,1,2,4,3,34.8,8.1,0.31,6.5,0
2020/12/26,0.4,1,2,4,3,32.5,8.5,0.37,5.9,0
2020/12/27,0.58,1,2,4,3,33,16,0.45,3.5,0
2020/12/28,0.79,3,2,4,3,34.6,8.1,0.51,5.2,29
2020/12/29,0.84,3,2,4,3,34.6,7.8,0.51,5,2
2020/12/30,0.74,3,2,4,3,35.5,7.3,0.51,5.6,6
2020/12/31,0.56,3,2,4,3,33.2,7.9,0.59,2.3,0
2021/1/1,0.46,3,2,4,3,33.3,5.4,0.72,3.8,0
2021/1/2,0.52,3,2,4,3,30.5,5.5,0.83,3.7,0
2021/1/3,0.7,3,2,4,3,32,8,0.98,5.2,0
2021/1/4,0.92,3,1,3,3,31.7,8.2,1.09,4.2,13
2021/1/5,1.03,3,1,3,3,33,9.7,1.09,5.9,6
2021/1/6,0.98,3,1,3,3,33.5,7.5,1.09,5.4,3
2021/1/7,0.85,3,1,3,3,31.6,8,1.09,4.9,4
2021/1/8,0.69,3,1,3,3,31.5,8.9,1.35,5,6
2021/1/9,0.66,3,1,3,3,31.1,7.6,1.5,6.2,0
2021/1/10,0.69,3,1,3,3,30.1,5.7,1.65,5,0
2021/1/11,0.77,1,1,3,3,28.9,6.6,1.79,6.3,8
2021/1/12,0.84,1,1,3,3,35.7,11,1.79,4.5,3
2021/1/13,0.85,1,1,3,3,33.7,8.5,1.79,5.7,4
2021/1/14,0.79,1,1,3,3,31,8,1.96,2.3,3
2021/1/15,0.72,1,1,3,3,28,11.1,2.09,6.2,4
2021/1/16,0.69,1,1,3,3,25.8,5.8,2.25,4.6,0
2021/1/17,0.74,1,1,3,3,32.2,7,2.43,4,0
2021/1/18,0.83,1,1,3,3,34.6,8.8,2.59,5,8
2021/1/19,0.9,1,1,3,3,34.3,11,2.59,5.7,3
2021/1/20,0.92,1,1,3,3,41,10.4,2.59,6.7,2
